,Site,Date,Time,Value
379,0031,2020-01-16,19.0,0.16
380,0031,2020-01-16,20.0,0.154
381,0031,2020-01-16,21.0,0.15
382,0031,2020-01-16,22.0,0.158
383,0031,2020-01-16,23.0,0.163
384,0031,2020-01-17,0.0,0.16
385,0031,2020-01-17,1.0,0.161
386,0031,2020-01-17,2.0,0.15
387,0031,2020-01-17,3.0,0.141
388,0031,2020-01-17,4.0,0.136
389,0031,2020-01-17,5.0,0.144
390,0031,2020-01-17,6.0,0.175
391,0031,2020-01-17,7.0,0.188
392,0031,2020-01-17,8.0,0.213
393,0031,2020-01-17,9.0,0.199
394,0031,2020-01-17,10.0,0.188
395,0031,2020-01-17,11.0,0.182
396,0031,2020-01-17,12.0,0.181
397,0031,2020-01-17,13.0,0.195
398,0031,2020-01-17,14.0,0.215
399,0031,2020-01-17,15.0,0.247
400,0031,2020-01-17,16.0,0.254
401,0031,2020-01-17,17.0,0.0
402,0031,2020-01-17,18.0,0.23
403,0031,2020-01-17,19.0,0.208
404,0031,2020-01-17,20.0,0.186
405,0031,2020-01-17,21.0,0.2
406,0031,2020-01-17,22.0,0.21
407,0031,2020-01-17,23.0,0.193
408,0031,2020-01-18,0.0,0.167
409,0031,2020-01-18,1.0,0.183
410,0031,2020-01-18,2.0,0.183
411,0031,2020-01-18,3.0,0.226
412,0031,2020-01-18,4.0,0.166
413,0031,2020-01-18,5.0,0.221
414,0031,2020-01-18,6.0,0.21
415,0031,2020-01-18,7.0,0.305
416,0031,2020-01-18,8.0,0.281
417,0031,2020-01-18,9.0,0.22
418,0031,2020-01-18,10.0,0.219
419,0031,2020-01-18,11.0,0.214
420,0031,2020-01-18,12.0,0.238
421,0031,2020-01-18,13.0,0.242
422,0031,2020-01-18,14.0,0.237
423,0031,2020-01-18,15.0,0.215
424,0031,2020-01-18,16.0,0.212
425,0031,2020-01-18,17.0,0.165
426,0031,2020-01-18,18.0,0.162
427,0031,2020-01-18,19.0,0.161
428,0031,2020-01-18,20.0,0.157
429,0031,2020-01-18,21.0,0.151
430,0031,2020-01-18,22.0,0.148
431,0031,2020-01-18,23.0,0.146
432,0031,2020-01-19,0.0,0.148
433,0031,2020-01-19,1.0,0.146
434,0031,2020-01-19,2.0,0.138
435,0031,2020-01-19,3.0,0.136
436,0031,2020-01-19,4.0,0.133
437,0031,2020-01-19,5.0,0.153
438,0031,2020-01-19,6.0,0.165
439,0031,2020-01-19,7.0,0.167
440,0031,2020-01-19,8.0,0.164
441,0031,2020-01-19,9.0,0.174
442,0031,2020-01-19,10.0,0.193
443,0031,2020-01-19,11.0,0.182
444,0031,2020-01-19,12.0,0.18
445,0031,2020-01-19,13.0,0.183
446,0031,2020-01-19,14.0,0.184
447,0031,2020-01-19,15.0,0.192
448,0031,2020-01-19,16.0,0.216
449,0031,2020-01-19,17.0,0.0
450,0031,2020-01-19,18.0,0.175
451,0031,2020-01-19,19.0,0.171
452,0031,2020-01-19,20.0,0.169
453,0031,2020-01-19,21.0,0.169
454,0031,2020-01-19,22.0,0.173
455,0031,2020-01-19,23.0,0.176
456,0031,2020-01-20,0.0,0.173
457,0031,2020-01-20,1.0,0.171
458,0031,2020-01-20,2.0,0.176
459,0031,2020-01-20,3.0,0.18
460,0031,2020-01-20,4.0,0.184
461,0031,2020-01-20,5.0,0.187
462,0031,2020-01-20,6.0,0.199
463,0031,2020-01-20,7.0,0.212
464,0031,2020-01-20,8.0,0.215
465,0031,2020-01-20,9.0,0.235
466,0031,2020-01-20,10.0,0.216
467,0031,2020-01-20,11.0,0.163
468,0031,2020-01-20,12.0,0.157
469,0031,2020-01-20,13.0,0.156
470,0031,2020-01-20,14.0,0.17
471,0031,2020-01-20,15.0,0.17
472,0031,2020-01-20,16.0,0.175
473,0031,2020-01-20,17.0,0.187
474,0031,2020-01-20,18.0,0.24
475,0031,2020-01-20,19.0,0.231
476,0031,2020-01-20,20.0,0.234
477,0031,2020-01-20,21.0,0.237
478,0031,2020-01-20,22.0,0.231
479,0031,2020-01-20,23.0,0.234
480,0031,2020-01-21,0.0,0.234
481,0031,2020-01-21,1.0,0.282
482,0031,2020-01-21,2.0,0.286
483,0031,2020-01-21,3.0,0.27
484,0031,2020-01-21,4.0,0.265
485,0031,2020-01-21,5.0,0.182
486,0031,2020-01-21,6.0,0.182
487,0031,2020-01-21,7.0,0.211
488,0031,2020-01-21,8.0,0.205
489,0031,2020-01-21,9.0,0.187
490,0031,2020-01-21,10.0,0.144
491,0031,2020-01-21,11.0,0.143
492,0031,2020-01-21,12.0,0.148
493,0031,2020-01-21,13.0,0.137
494,0031,2020-01-21,14.0,0.158
495,0031,2020-01-21,15.0,0.156
496,0031,2020-01-21,16.0,0.171
497,0031,2020-01-21,17.0,0.196
498,0031,2020-01-21,18.0,0.204
499,0031,2020-01-21,19.0,0.198
500,0031,2020-01-21,20.0,0.249
501,0031,2020-01-21,21.0,0.393
502,0031,2020-01-21,22.0,0.44
503,0031,2020-01-21,23.0,0.477
504,0031,2020-01-22,0.0,0.526
505,0031,2020-01-22,1.0,0.518
506,0031,2020-01-22,2.0,0.502
507,0031,2020-01-22,3.0,0.562
508,0031,2020-01-22,4.0,0.567
509,0031,2020-01-22,5.0,0.0
510,0031,2020-01-22,6.0,0.532
511,0031,2020-01-22,7.0,0.653
512,0031,2020-01-22,8.0,0.594
513,0031,2020-01-22,9.0,0.493
514,0031,2020-01-22,10.0,0.372
515,0031,2020-01-22,11.0,0.26
516,0031,2020-01-22,12.0,0.247
517,0031,2020-01-22,13.0,0.272
518,0031,2020-01-22,14.0,0.34
519,0031,2020-01-22,15.0,0.373
520,0031,2020-01-22,16.0,0.349
521,0031,2020-01-22,17.0,0.406
522,0031,2020-01-22,18.0,0.489
523,0031,2020-01-22,19.0,0.661
524,0031,2020-01-22,20.0,0.733
525,0031,2020-01-22,21.0,0.763
526,0031,2020-01-22,22.0,0.817
527,0031,2020-01-22,23.0,0.807
528,0031,2020-01-23,0.0,0.836
529,0031,2020-01-23,1.0,0.627
530,0031,2020-01-23,2.0,0.665
531,0031,2020-01-23,3.0,0.612
532,0031,2020-01-23,4.0,0.617
533,0031,2020-01-23,5.0,0.613
534,0031,2020-01-23,6.0,0.797
535,0031,2020-01-23,7.0,0.887
536,0031,2020-01-23,8.0,0.998
537,0031,2020-01-23,9.0,1.145
538,0031,2020-01-23,10.0,1.103
539,0031,2020-01-23,11.0,1.834
540,0031,2020-01-23,12.0,1.321
541,0031,2020-01-23,13.0,1.297
542,0031,2020-01-23,14.0,1.303
543,0031,2020-01-23,15.0,1.222
544,0031,2020-01-23,16.0,0.818
545,0031,2020-01-23,17.0,0.0
546,0031,2020-01-23,18.0,1.075
547,0031,2020-01-23,19.0,1.02
548,0031,2020-01-23,20.0,1.058
549,0031,2020-01-23,21.0,0.955
550,0031,2020-01-23,22.0,0.781
551,0031,2020-01-23,23.0,0.865
552,0031,2020-01-24,0.0,0.646
553,0031,2020-01-24,1.0,0.519
554,0031,2020-01-24,2.0,0.517
555,0031,2020-01-24,3.0,0.421
556,0031,2020-01-24,4.0,0.447
557,0031,2020-01-24,5.0,0.5
558,0031,2020-01-24,6.0,0.694
559,0031,2020-01-24,7.0,0.747
560,0031,2020-01-24,8.0,0.759
561,0031,2020-01-24,9.0,0.842
562,0031,2020-01-24,10.0,0.835
563,0031,2020-01-24,11.0,0.874
564,0031,2020-01-24,12.0,0.0
565,0031,2020-01-24,13.0,0.313
566,0031,2020-01-24,14.0,0.345
567,0031,2020-01-24,15.0,0.291
568,0031,2020-01-24,16.0,0.275
569,0031,2020-01-24,17.0,0.348
570,0031,2020-01-24,18.0,0.377
571,0031,2020-01-24,19.0,0.29
572,0031,2020-01-24,20.0,0.338
573,0031,2020-01-24,21.0,0.359
574,0031,2020-01-24,22.0,0.332
575,0031,2020-01-24,23.0,0.428
576,0031,2020-01-25,0.0,0.391
577,0031,2020-01-25,1.0,0.289
578,0031,2020-01-25,2.0,0.331
579,0031,2020-01-25,3.0,0.389
580,0031,2020-01-25,4.0,0.256
581,0031,2020-01-25,5.0,0.328
582,0031,2020-01-25,6.0,0.272
583,0031,2020-01-25,7.0,0.26
584,0031,2020-01-25,8.0,0.261
585,0031,2020-01-25,9.0,0.233
586,0031,2020-01-25,10.0,0.233
587,0031,2020-01-25,11.0,0.219
588,0031,2020-01-25,12.0,0.211
589,0031,2020-01-25,13.0,0.23
590,0031,2020-01-25,14.0,0.246
591,0031,2020-01-25,15.0,0.248
592,0031,2020-01-25,16.0,0.248
593,0031,2020-01-25,17.0,0.248
594,0031,2020-01-25,18.0,0.243
595,0031,2020-01-25,19.0,0.224
596,0031,2020-01-25,20.0,0.226
597,0031,2020-01-25,21.0,0.234
598,0031,2020-01-25,22.0,0.248
599,0031,2020-01-25,23.0,0.246
600,0031,2020-01-26,0.0,0.253
601,0031,2020-01-26,1.0,0.245
602,0031,2020-01-26,2.0,0.247
603,0031,2020-01-26,3.0,0.235
604,0031,2020-01-26,4.0,0.223
605,0031,2020-01-26,5.0,0.192
606,0031,2020-01-26,6.0,0.195
607,0031,2020-01-26,7.0,0.202
608,0031,2020-01-26,8.0,0.192
609,0031,2020-01-26,9.0,0.207
610,0031,2020-01-26,10.0,0.21
611,0031,2020-01-26,11.0,0.207
612,0031,2020-01-26,12.0,0.206
613,0031,2020-01-26,13.0,0.225
614,0031,2020-01-26,14.0,0.214
615,0031,2020-01-26,15.0,0.224
616,0031,2020-01-26,16.0,0.219
617,0031,2020-01-26,17.0,0.186
618,0031,2020-01-26,18.0,0.185
619,0031,2020-01-26,19.0,0.197
620,0031,2020-01-26,20.0,0.176
621,0031,2020-01-26,21.0,0.181
622,0031,2020-01-26,22.0,0.171
623,0031,2020-01-26,23.0,0.17
624,0031,2020-01-27,0.0,0.167
625,0031,2020-01-27,1.0,0.158
626,0031,2020-01-27,2.0,0.161
627,0031,2020-01-27,3.0,0.164
628,0031,2020-01-27,4.0,0.161
629,0031,2020-01-27,5.0,0.18
630,0031,2020-01-27,6.0,0.197
631,0031,2020-01-27,7.0,0.207
632,0031,2020-01-27,8.0,0.221
633,0031,2020-01-27,9.0,0.243
634,0031,2020-01-27,10.0,0.225
635,0031,2020-01-27,11.0,0.219
636,0031,2020-01-27,12.0,0.214
637,0031,2020-01-27,13.0,0.208
638,0031,2020-01-27,14.0,0.218
639,0031,2020-01-27,15.0,0.259
640,0031,2020-01-27,16.0,0.263
641,0031,2020-01-27,17.0,0.263
642,0031,2020-01-27,18.0,0.247
643,0031,2020-01-27,19.0,0.23
644,0031,2020-01-27,20.0,0.216
645,0031,2020-01-27,21.0,0.216
646,0031,2020-01-27,22.0,0.215
647,0031,2020-01-27,23.0,0.222
648,0031,2020-01-28,0.0,0.221
649,0031,2020-01-28,1.0,0.211
650,0031,2020-01-28,2.0,0.201
651,0031,2020-01-28,3.0,0.214
652,0031,2020-01-28,4.0,0.208
653,0031,2020-01-28,5.0,0.0
